Name,Team,Pos,Opp,Salary,SS Proj,Own,Adj Own,p25,p50,p75,p85,p95,p99,Status
James Cook III,BUF,RB,vs LAC,6900,17.77,17.96,19.52,10.8,16.6,23.2,27.3,34.0,42.9,
Ashton Jeanty,LV,RB,at NO,7100,17.76,12.41,12.89,11.2,16.0,22.4,26.6,35.2,45.3,
Bryce Young,CAR,QB,at CLE,5600,17.30,3.39,3.38,11.9,16.4,21.9,25.1,30.9,37.9,
Ja'Marr Chase,CIN,WR,at PIT,8100,18.66,7.08,7.24,11.2,16.8,24.9,29.4,37.3,46.8,
Justin Herbert,LAC,QB,at BUF,5800,17.24,1.78,1.75,11.9,16.4,21.8,24.9,31.0,38.4,
C.J. Stroud,HOU,QB,at IND,5500,17.03,3.66,3.65,11.9,16.2,21.5,24.6,30.0,36.3,
Trey McBride,ARI,TE,at SF,6700,16.96,9.62,10.01,10.5,15.5,22.2,26.3,33.4,42.2,
Jaylen Warren,PIT,RB,vs CIN,5700,15.78,20.16,21.62,10.1,14.5,20.1,23.8,30.7,39.9,Q
De'Von Achane,MIA,RB,vs KC,6500,16.65,13.26,13.83,10.6,15.3,21.3,25.1,31.8,41.4,
Chase Brown,CIN,RB,at PIT,6600,16.60,10.56,10.94,10.0,14.6,21.3,25.7,34.1,43.7,
Chris Olave,NO,WR,vs LV,7200,17.91,18.06,20.51,10.7,16.2,24.0,28.6,35.9,44.8,
Deshaun Watson,CLE,QB,vs CAR,4700,16.36,6.05,6.18,10.8,15.3,20.9,24.3,30.5,37.8,
